ImageID,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11
6119677716839104391,44,16814,8987,0,0,0,0,0,0,485787,409968,0
14802949761255250525,15807,887,245,0,0,0,0,0,239186,291343,374132,0
14124813423892560492,186678,495,80,1493,0,0,0,1482,4410,558281,168681,0
5482257461254211163,336540,3713,697,0,0,0,0,2447,0,141268,436935,0
10081435122427592003,153369,9677,0,0,0,0,0,0,0,318107,440447,0
5061311136434187472,57441,280,128,0,0,0,0,995,301928,456028,104800,0
4958416638630567355,50369,1037,0,0,0,0,0,22337,0,457199,390658,0
9021911849184547575,47762,934,0,0,0,0,0,24653,0,553602,294649,0
7879137831619105622,11462,12391,4039,0,0,0,0,0,0,321303,572405,0
11301283022880292256,16802,5632,739,0,0,0,0,357,0,429361,468709,0
9374149979134464308,105274,867,0,227,0,0,0,5669,2096,283261,114501,409705
2482986803101084308,13769,808,0,0,0,0,0,0,365649,210330,331044,0
5557904799144361742,10263,2623,0,4334,0,0,0,0,0,0,904380,0
4906134811145591306,18348,909,0,0,0,0,0,14943,10854,558360,318186,0
3238547601620301243,42100,567,0,2238,0,0,0,5522,7024,369791,94679,399679
13255291466199807945,74544,348,0,6441,0,0,0,1461,108146,657223,73437,0
15772239429719824619,5853,11529,4391,0,0,0,0,0,0,529807,370020,0
2916175739300112398,190415,804,245,0,0,0,0,4057,35016,223519,467544,0
17036117858283710476,20051,2236,0,0,0,0,0,0,0,482677,416636,0
8132759621826780913,387611,0,0,6938,0,0,0,1771,0,125335,399945,0
2257517101111337678,191997,823,1359,4159,0,0,0,5305,2891,404109,310957,0
8955874342213678087,161375,4901,0,0,0,0,0,11620,0,385752,357952,0
12901817071638607336,37180,969,0,0,0,0,0,7418,13256,442593,420184,0
13571097998518312968,10257,4254,1719,0,0,0,0,1481,0,624917,278972,0
12554066507661484507,223228,3338,0,0,0,0,0,24587,0,258792,411655,0
12197754767641080291,81550,615,0,0,0,0,0,20649,11096,635738,171952,0
4368197064012183701,123921,2616,3622,2888,0,0,0,9711,0,226696,552146,0
8565610481030993204,28542,1848,987,0,0,0,0,707,0,634107,255409,0
13741566418719621391,231223,0,0,5910,0,0,0,6833,0,356729,320905,0
2610594974559026306,90705,6469,0,0,0,0,0,1105,0,149519,673802,0
1453312082410740406,195462,2765,716,0,0,0,0,18202,8988,68971,626496,0
4930578460801027028,96764,1364,190,1652,0,0,0,5452,2866,627955,185357,0
7726252359331514120,65225,6181,0,0,0,0,0,21178,0,108280,720736,0
9539593687512498529,149029,238,121,14221,0,0,0,6286,20015,460885,270805,0
18074964933109873252,80348,7451,0,0,0,0,0,26464,0,80282,727055,0
11180598794627341818,154966,5378,0,0,0,0,0,4129,4523,278393,474211,0
16524480890148777258,230755,383,92,1177,0,0,0,541,731,507479,180442,0
2822173471331530574,391251,16582,1549,8601,2807,0,0,12236,50673,240912,196989,0
1863915739915229563,11850,10103,2997,0,0,0,0,0,0,512209,384441,0
8172174123635381587,139081,4216,0,0,0,0,0,6588,0,330148,441567,0
13852758152930042136,365275,0,0,1043,0,0,0,119,0,517796,37367,0
16186230723442775449,82170,1974,0,0,0,0,0,6059,0,431533,399864,0
7353008532465742054,222147,0,0,3307,0,0,0,7017,6744,461964,220421,0
9730065085814348984,144867,5964,0,0,0,0,0,3407,45761,303181,418420,0
1258821349949363750,175124,579,550,12385,0,0,0,11498,6969,179743,534752,0
13264174119596970726,78640,1053,0,150,0,0,0,7364,1075,328469,104465,400384
16463733558712462657,155799,788,866,11541,0,0,0,12885,5245,170567,563909,0
17932807514607671918,120911,3008,0,0,0,0,0,10045,0,90281,697355,0
6952569277566731213,7986,2234,0,0,0,0,0,548,0,571393,339439,0
12791142673725577803,212995,0,0,2841,0,0,0,6240,12095,307461,379968,0
12282991218481043852,196556,927,409,26931,0,0,0,8256,3136,385347,300038,0
15333601458995638608,278434,2133,330,8784,0,0,0,14250,48397,193170,376102,0
2638923818403806441,30710,275,50,0,0,0,0,0,18504,804905,67156,0
2025249689802100856,920544,0,0,0,1056,0,0,0,0,0,0,0
11158829398231542327,25238,0,0,0,0,0,0,13340,10472,518904,353646,0
9593643566133306587,13406,4431,0,0,0,0,0,0,0,471674,432089,0
3123528369964042404,167558,456,0,6951,0,0,0,1154,119063,397248,229170,0
2229297445545243595,70518,7473,0,13490,0,0,0,2427,0,69786,757906,0
12808779107195514052,44151,0,0,0,0,0,0,12070,7825,471175,386379,0
13735509822956982940,901191,0,0,0,20409,0,0,0,0,0,0,0
